prices,market_caps,total_volumes
63053.10543906421,1236312176673.4497,27108369390.44353
68186.64593432152,1333913436699.1726,74551714626.1156
64291.536557569496,1264870242318.5977,96403762012.66058
66145.91927850846,1297845751759.601,73151905042.04068
66944.87639053575,1317508010581.0813,48853892626.0196
68315.25192078314,1340971395884.519,63346588227.32869
68508.0039626159,1346027264110.4956,21359706190.81524
69075.66688195744,1357390358031.5388,36660543917.16198
72130.55300765681,1417772589113.9521,66653067165.93465
71467.17350326062,1403692914139.1924,64599341551.27301
73097.76702694128,1436631290571.5388,51906601043.53671
71420.03180142345,1403843488135.24,63073551321.74747
69497.7631929463,1367669237527.8738,81204427005.22603
65292.31329331289,1282404282863.459,49265436012.59228
68425.41565643054,1344508983079.8567,47190980586.56393
67708.94360930806,1331771923948.0378,51101822566.75771
62132.51737873437,1223867418062.399,80179417876.47993
67819.05570684028,1332594162507.5205,70836803714.91411
65535.97844847657,1287348061971.4202,48393664548.05336
63509.04496523133,1247366367469.2778,42436600223.53738
64285.80279102199,1264722355270.5166,25489933245.687557
67310.98326810106,1323456466317.511,28098318940.431744
69938.94530200244,1371797489739.3416,44820310272.647514
70082.05122475982,1375728580463.2524,36257324508.56845
69435.75040305211,1360261687784.1018,41441040887.822266
70710.19534863312,1390869723348.0437,30455289338.47621
69919.05546148612,1374646886107.8396,25785951735.485695
69702.3087473573,1370247487960.0945,16408802301.837431
71246.95144060145,1401370211582.3662,19723005998.21497
69785.92503802372,1373784286061.3486,36040088988.53872
67015.21644921954,1320474618292.2678,42378382591.76776
